Asignatura;Escuela;CodDocente;CodAsignatura
CONTABILIDAD PARA LA GESTION;EP.SOFTWARE;41388541;202W0402
SISTEMAS DIGITALES;EP.SOFTWARE;095699 ;202W0407
INNOVACION, TECNOLOGIA Y EMPRENDIMIENTO;EP.SOFTWARE;0A4524;202W0403
PROBABILIDADES;EP.SOFTWARE;043788 ;202W0405
ALGORITMICA II;EP.SOFTWARE;95753;202W0401
MATEMATICA DISCRETA;EP.SOFTWARE;0A1610;202W0404
