;CodAsignatura;Ciclo;Seccion;CodDocente;Día;HoraInicio;HoraFin;DuraciónHoras
0;202W0401;4;1;95753;Jue;17:00;22:00;5
1;202W0402;4;1;41388541;Jue;11:00;15:00;4
2;202W0403;4;1;0A4524;Vie;10:00;14:00;4
3;202W0404;4;1;0A1610;Vie;16:00;20:00;4
4;202W0405;4;1;043788 ;Mie;14:00;18:00;4
5;202W0407;4;1;095699 ;Sab;15:00;20:00;5
